"Prior","W_mean","W_sd","RE_Var_mean","RE_Var_sd","R2_mean","R2_sd","rho_mean","rho_sd"
"R2D2:a=0.5,b=0.5",1.62075956939284,0.876691234866437,1.59249790160372,0.872007543160366,0.223032181666883,0.0689796989529736,0.529774763183334,0.346386220228391
"R2D2:a=1,b=1",1.51306312219497,0.808919723685845,1.48426486717097,0.807122846739132,0.213351505924687,0.0671844930807861,0.485582449880201,0.367447571964327
"R2D2:a=1,b=4",1.37647785067668,0.697682168527465,1.35025355970512,0.696719435247758,0.201457569896935,0.0608132944206755,0.475240268862539,0.325358221269351
"R2D2:a=4,b=1",2.7897743881956,1.38195370637406,2.7577238816414,1.37618455480398,0.308234203029985,0.0833439752974531,0.999356064796536,0.489698620916424
"R2D2:a=4,b=4",2.15121308024618,1.14195238248613,2.1176955468988,1.1397056593616,0.26523543116098,0.0782137002773809,0.752428289047788,0.467518878765619
