"Prior","W_mean","W_sd","RE_Var_mean","RE_Var_sd","R2_mean","R2_sd","rho_mean","rho_sd"
"R2D2:a=0.5,b=0.5",1.89094348308737,1.29548003683583,1.50739711334175,1.1984475331811,0.24265577502617,0.0760600609142088,22759.4246334539,20832.7611155183
"R2D2:a=1,b=1",3.88858106685417,4.01641353478273,3.45695657275976,3.94569712865671,0.33544932271399,0.123289739286172,60080.7487558906,75379.4157847584
"R2D2:a=1,b=4",2.72818918635227,2.04898595485976,2.32248948363,1.96366419611174,0.295860997084964,0.0926074115634315,39076.7073696878,38356.9011264997
"R2D2:a=4,b=1",6.48394864048095,6.47473174701735,5.81533538252144,6.3743487015695,0.412350014434032,0.142242032294829,98689.8342679372,111051.772565142
"R2D2:a=4,b=4",3.2850638464266,3.0127497218168,2.79134215831447,2.95349984791849,0.318969052968943,0.103927616170097,44068.4102607095,52329.2089419937
